budget_function,period_duration_total,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,has_overflowed,completed_runs_per_task[0],completed_runs_per_task[1],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_read[10],used_budget_read[11],used_budget_read[12],used_budget_read[13],used_budget_read[14],used_budget_read[15],used_budget_read[16],used_budget_read[17],used_budget_read[18],used_budget_read[19],used_budget_read[20],used_budget_read[21],used_budget_read[22],used_budget_read[23],used_budget_read[24],used_budget_read[25],used_budget_read[26],used_budget_read[27],used_budget_read[28],used_budget_read[29],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],used_budget_write[10],used_budget_write[11],used_budget_write[12],used_budget_write[13],used_budget_write[14],used_budget_write[15],used_budget_write[16],used_budget_write[17],used_budget_write[18],used_budget_write[19],used_budget_write[20],used_budget_write[21],used_budget_write[22],used_budget_write[23],used_budget_write[24],used_budget_write[25],used_budget_write[26],used_budget_write[27],used_budget_write[28],used_budget_write[29],predicted_read[0],predicted_read[1],predicted_read[2],predicted_read[3],predicted_read[4],predicted_read[5],predicted_read[6],predicted_read[7],predicted_read[8],predicted_read[9],predicted_read[10],predicted_read[11],predicted_read[12],predicted_read[13],predicted_read[14],predicted_read[15],predicted_read[16],predicted_read[17],predicted_read[18],predicted_read[19],predicted_read[20],predicted_read[21],predicted_read[22],predicted_read[23],predicted_read[24],predicted_read[25],predicted_read[26],predicted_read[27],predicted_read[28],predicted_read[29],predicted_write[0],predicted_write[1],predicted_write[2],predicted_write[3],predicted_write[4],predicted_write[5],predicted_write[6],predicted_write[7],predicted_write[8],predicted_write[9],predicted_write[10],predicted_write[11],predicted_write[12],predicted_write[13],predicted_write[14],predicted_write[15],predicted_write[16],predicted_write[17],predicted_write[18],predicted_write[19],predicted_write[20],predicted_write[21],predicted_write[22],predicted_write[23],predicted_write[24],predicted_write[25],predicted_write[26],predicted_write[27],predicted_write[28],predicted_write[29],period_duration[0],period_duration[1],period_duration[2],period_duration[3],period_duration[4],period_duration[5],period_duration[6],period_duration[7],period_duration[8],period_duration[9],period_duration[10],period_duration[11],period_duration[12],period_duration[13],period_duration[14],period_duration[15],period_duration[16],period_duration[17],period_duration[18],period_duration[19],period_duration[20],period_duration[21],period_duration[22],period_duration[23],period_duration[24],period_duration[25],period_duration[26],period_duration[27],period_duration[28],period_duration[29],
EWMA,300,59320685,7147846,51944357,6260290,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,1,1,3053092,3094011,2535306,2259022,2155900,2001795,1925728,1865143,1911808,1876187,1867015,1842735,1850621,1848610,1841417,1864875,1749386,1486137,1943982,1850424,1827291,1893638,1856156,1834034,1846313,1857309,1832283,1855224,1846874,1848369,227106,402330,316197,293790,261768,241716,229917,233824,229152,225604,217321,221696,224685,222519,221142,223601,298582,239792,211946,198771,222436,216873,219130,216649,226878,221092,215048,219576,225277,223428,610618,1107296,1392898,1566122,1684077,1747620,1783241,1799621,1822058,1832883,1839709,1840314,1842375,1843622,1843181,1847519,1827892,1759541,1796429,1807228,1811240,1827719,1833406,1833531,1836087,1840331,1838721,1842021,1842991,1844066,45421,116802,156681,184102,199635,208051,212424,216704,219193,220475,219844,220214,221108,221390,221340,221792,237150,237678,232531,225779,225110,223462,222595,221405,222499,222217,220783,220541,221488,221876,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
SW,300,61442390,7372900,50255118,6229767,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,2,2,3679474,753696,774298,1732605,2600859,2572104,2585125,2632001,2619072,2564053,2586393,2596254,1991087,1398452,1709564,1997392,1998287,2011845,1989330,1609392,2004008,1957460,1959202,2013791,1838910,1815561,1813569,1885898,1881449,1871259,442486,78060,136937,245543,285711,287727,298085,293934,281353,288788,294458,291333,221177,174655,215600,239989,240015,237969,258600,272529,244960,229335,247478,236338,208693,206557,231431,230660,229709,222790,2959028,2704642,1735823,1086866,1086866,1086866,1086866,1086866,1086866,1086866,1086866,1702587,2301856,1995264,1699701,1699701,1699701,1699701,1699701,1699701,1699701,1699701,1701803,1856953,1856953,1856953,1822680,1822680,1822680,1822680,357457,321562,219161,153513,153513,153513,153513,153513,153513,153513,153513,222730,268989,229055,203811,203811,203811,203811,203811,203811,203811,203811,210081,231868,230836,217196,215560,215560,215560,215560,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
AFC,300,58441864,7162708,51078468,6276150,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,2,2,1580080,3383146,2768941,2398779,2187828,2059791,1577881,2000953,1897821,1870710,1907957,1877597,1841744,1833683,1873073,1852370,1832575,1800323,1830581,1838478,1847648,1856815,1784380,1473080,1943822,1859400,1852766,1898599,1869846,1841197,202180,404026,331281,287321,260942,277034,262237,225552,208994,229963,224494,216458,217755,225330,225542,221775,213809,217134,221483,221154,221350,222447,289306,241101,211689,202731,225993,221122,216163,216342,316016,929442,1297341,1517628,1651668,1733292,1702210,1761958,1789130,1805446,1825948,1836277,1837370,1836633,1843921,1845610,1843003,1834467,1833690,1834647,1837247,1841160,1829804,1758460,1795532,1808305,1817197,1833477,1840750,1840839,40436,113154,156779,182887,198498,214205,223811,224159,221126,222893,223213,221862,221041,221898,222626,222456,220727,220009,220303,220473,220648,221007,234666,235953,231101,225427,225540,224657,222959,221636,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
AMBP,660,51295521,7095843,3655159309,437653074,OOOOOOOOOOOO------------------,4,4,1565670,3354889,2762982,2397405,2183656,2049001,1975360,1915980,1886877,1912001,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,1464585,188758,409805,332785,288260,261075,245259,236870,229722,226379,247017,251395,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,219922,313214,921549,1289835,1511349,1645810,1726448,1776230,1804180,1820719,1838975,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,182025550,37831,112225,156337,182721,198391,207764,213585,216812,218725,224383,229785,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,22929185,10,10,10,10,10,10,10,10,10,10,10,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
PIC,880,109785090,13142880,12742181220,12867816090,O-----------------------------,5,5,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,3659503,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,438096,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,424739374,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,428927203,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
EWMA_v2,900,4191491613,3911203674,1266819875,1036186700,------------------------------,5,5,3881183923,11013947,11109429,11098995,9432097,10681650,11093106,11013816,11127489,11110224,9235301,10685797,11087253,11012313,11125999,11108762,9242742,10673804,11072462,10977783,11133637,11070798,9275375,10686573,11084638,10980300,11131815,11078087,9253571,10709927,3867588020,1325734,1336013,1334607,2235005,1359198,1338365,1331054,1335644,1336002,2323743,1359770,1337840,1330277,1334845,1336452,2326192,1358278,1335845,1328351,1333887,1332030,2294472,1359607,1336742,1329709,1334415,1332605,2295850,1363122,200000000,162202789,131984117,107807092,88132093,72642004,60332224,50468542,42600331,36302309,30888907,26848285,23696078,21159325,19152659,17543879,15883651,14841681,14087837,13465826,12999388,12613670,11946011,11694123,11572226,11453840,11389435,11327165,10912446,10871942,200000000,160265146,128479319,103050376,82887301,66581680,53533017,43092624,34741228,28060182,22912894,18602269,15149383,12385561,10175417,8407624,7191337,6024725,5086949,4335229,3734960,3254374,3062393,2721835,2444816,2221794,2044318,1901975,1980750,1857224,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
SW_v2,520,178006177,4317683294,168598834,7894964932,-OOOOOOOOOOOOOOOOOOOOO--------,3,3,190831,3713248,3664384,3674346,3680915,3689152,3697598,3691799,3693360,3694763,3695725,3695292,3311344,3697086,3656591,3654955,3722328,3701916,7364787,7421892,7398567,7407363,10936010,10669470,11098926,11056215,11134311,11098227,9233816,10660960,4294672318,436170,441192,445169,447042,444797,445105,444198,444135,443347,442883,479403,476604,448209,433025,451073,447870,439198,889249,893288,888022,889692,1440618,1357854,1338911,1336225,1337872,1333552,2338586,1357687,190831,1952040,2522821,3683993,3673215,3681471,3689222,3692850,3694252,3693307,3694616,3695260,3567454,3567907,3555007,3669544,3677958,3693066,4929677,6162865,7395082,7409274,8580647,9670948,10901469,10941537,11096484,11096251,10488785,10331001,4294672318,2147554244,1431849893,440844,444468,445669,445648,444700,444479,443893,443455,455211,466297,468072,452613,444102,443989,446047,592106,740578,890186,890334,1072777,1229388,1379128,1344330,1337669,1335883,1670003,1676608,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,30,30,30,30,30,30,30,30,
AFC_v2,320,106885540,4307904973,92530718,4306047661,-OOOOOOOOOOOOOOOOOOOOOOOOOOOOO,2,2,751690,3716847,3697386,3674652,3660676,3698351,3698948,3691980,3683577,3685107,3686303,3704438,3304595,3699790,3654039,3662054,3716740,3697565,3676432,3665751,3712828,3708699,3694932,3694766,3693620,3691811,3695305,3692148,3567991,3306519,4294852840,440853,445807,440096,446226,444923,445164,444024,442928,443327,442315,471816,475889,447594,433524,451624,447164,439617,438356,448756,446471,445627,441176,441291,443147,444239,444968,447500,531635,476076,150338,863639,1430388,1879240,2235527,2528091,2762262,2948205,3095279,3213244,3307855,3387171,3370656,3436482,3479993,3516405,3556472,3584690,3603038,3615580,3635029,3649763,3658796,3665990,3671516,3675575,3679521,3682046,3659235,3588692,4294944405,69857,145047,204056,252490,290976,321813,346255,365589,381136,393371,409060,422425,427458,428671,433261,436041,436756,437076,439412,440823,441783,441662,441588,441899,442367,442887,443809,461374,464314,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
LR_v2,760,271861564,35877430,275551505,36316035,OOO-----------OOOOOOO-------OO,4,4,283723,3653504,7398780,11061065,11109466,11103614,10981425,10684116,11101269,11050060,11114631,11089888,9236595,10690843,7369236,7396405,7371936,7387987,7401690,7394930,7250494,10694252,11092252,11045568,11122687,11085772,9229938,10691988,7387566,7379884,217301,441575,892858,1334466,1329297,1333416,1435500,1359737,1338611,1335174,1335813,1332856,2331517,1360692,897924,880211,893997,888230,887046,891378,991159,1360937,1337019,1335044,1336558,1332271,2328856,1360504,900277,877206,425584,5338394,9271418,12892207,11133666,11100688,10920331,10535462,11309845,11024456,11146916,11077517,8309949,11417967,5708433,7409989,7359702,7396012,7408541,7391550,7178276,12416131,11291252,11022226,11161246,11067315,8302021,11423013,5735355,7376043,325951,553712,1118499,1555270,1326713,1335475,1486542,1321856,1328048,1333456,1336132,1331378,2830847,875280,666540,871355,900890,885347,886454,893544,1041049,1545826,1325060,1334057,1337315,1330128,2827148,876328,670164,865671,10,10,20,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,30,30,30,30,30,30,30,20,20,
AMBP_v2,310,106165776,13371627,62253755,7843688,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,2,2,154453,3680367,3669160,3687011,3695915,3689814,3701186,3707937,3611613,3310507,3709384,3662163,3657795,3720744,3709424,3673023,3652333,3703188,3706445,3699098,3690476,3689318,3704113,3699385,3700991,3555349,3311496,3701050,3649464,3662574,267579,436845,441164,445072,445389,443869,443193,442267,518646,476315,450996,432472,451105,448101,439385,439933,445200,446123,445341,441156,440928,442805,445567,445173,449215,538515,476514,449660,431534,451565,27873,682533,1151872,1493009,1740231,1917132,2046547,2140942,2191568,2173819,2232838,2266832,2290521,2318908,2337309,2344005,2345103,2355048,2362794,2367048,2368559,2369439,2372735,2374258,2375643,2350425,2288375,2313819,2322853,2331717,48235,113361,161028,196052,221327,239251,252035,261072,281327,288291,288748,285742,286932,287248,285907,285040,285364,285763,285910,285263,284756,284728,285205,285478,286402,303141,304033,299842,293562,292645,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
