budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,7553607,4999856,2553751,3372272,1848632,436795,474234,961073,266250,229950,1371275,170989,117289,733534,238467,72492,218777,632319,86699,60340,987778,12913,12913,431283,38237,87359,164734,324001,312450,295950,511015,443009,377865,448998,406891,14498,55353,170746,153936,135216,305728,247165,247165,283988,234837,
SW,14781075,9117595,5663480,6826214,3276954,1044312,700969,117378,1364178,402244,1548133,423815,1563461,400068,1553037,219389,476892,143056,907822,266204,1030466,280575,1040621,264710,1033745,929563,929563,620886,620886,620886,620886,620886,620886,620886,620886,619937,418785,279779,279779,279779,279779,279779,279779,279779,279779,
AFC,9839142,5942118,3897024,3789277,2470963,324733,450395,983858,736224,139388,1176046,522387,22208,1116863,470016,214555,144328,707990,369434,369434,800003,210520,210520,719309,150931,64946,142035,310399,395564,344329,510672,513015,414854,555255,538208,42911,63194,192153,227609,227609,342087,315774,315774,396481,347371,
AMBP,4976003,3619492,1356511,287826614,167605939,1307461,792087,189993,189993,189993,189993,189993,189993,189993,189993,884350,389545,10327,10327,10327,10327,10327,10327,10327,10327,261843,367891,35899610,35899610,35899610,35899610,35899610,35899610,35899610,35899610,176950,219469,20901190,20901190,20901190,20901190,20901190,20901190,20901190,20901190,
PIC,15112650,9884280,5228370,4282117710,4288170400,988428,988428,988428,988428,988428,988428,988428,988428,988428,988428,522837,522837,522837,522837,522837,522837,522837,522837,522837,522837,428211771,428211771,428211771,428211771,428211771,428211771,428211771,428211771,428211771,428211771,428817040,428817040,428817040,428817040,428817040,428817040,428817040,428817040,428817040,428817040,
EWMA,9723353,6368889,3354464,4289908,2239724,729481,883738,748689,666730,606024,575240,564000,533966,524903,536118,267511,496782,416510,367682,330702,312304,306038,286795,281202,288938,145896,293464,384509,440953,473967,494221,508176,513334,515647,519741,53502,142158,197028,231158,251066,263313,271858,274845,276116,278680,
SW,9696530,6310989,3385541,4535014,2440190,1049205,238793,265582,532222,702799,695330,697602,709118,720162,700176,563369,136550,139196,284227,376104,371135,372622,380318,387684,374336,819789,778641,517860,345532,345532,345532,345532,345532,345532,345532,433057,420822,279705,186658,186658,186658,186658,186658,186658,186658,
AFC,9622813,6270260,3352553,4199495,2242272,529565,947934,763995,681571,611017,585023,550377,543783,536090,520905,260710,514299,411493,368467,328567,315522,295001,292143,287953,278398,105913,274317,372252,434115,469495,492600,504155,512080,516882,517686,52142,144573,197957,232059,251360,264192,270353,274711,277359,277566,
AMBP,9535934,6210946,3324988,4133095,2209947,384559,970820,782653,677160,649387,580319,562636,532613,543131,527668,187893,524770,421055,363809,353134,311770,302805,284485,292483,282784,76991,255756,361135,424340,469349,491543,505761,511131,517531,519558,37658,135080,192275,226581,251891,263866,271653,274219,277871,278853,
PIC,5759620,3867280,1892340,4289939810,4292507240,386728,386728,386728,386728,386728,386728,386728,386728,386728,386728,189234,189234,189234,189234,189234,189234,189234,189234,189234,189234,428993981,428993981,428993981,428993981,428993981,428993981,428993981,428993981,428993981,428993981,429250724,429250724,429250724,429250724,429250724,429250724,429250724,429250724,429250724,429250724,
EWMA,20571351,12394854,8176497,8409160,5534353,1757662,1651314,1394008,1237749,1143976,1087595,1053762,1033490,1021300,1013998,1081882,1111659,934341,826752,762162,723320,700022,686057,677674,672628,351532,611488,767992,861943,918349,952198,972510,984706,992024,996418,216376,395432,503213,567920,606768,630078,644066,652464,657506,660530,
SW,20126652,12102028,8024624,8595528,5699398,2005752,341266,554920,1038126,1360580,1360498,1360386,1360212,1360130,1360158,1329993,226235,367945,688358,902184,902130,902051,901939,901886,901903,1664196,1450622,967313,644771,644771,644771,644771,644771,644771,644771,1103542,961874,641391,427513,427513,427513,427513,427513,427513,427513,
AFC,20121270,12099010,8022260,8117936,5382505,1168311,1771456,1464788,1280092,1169239,1102774,1062885,1038955,1024562,1015948,774066,1174734,971338,848845,775321,731238,704780,688917,679365,673656,233662,541220,725933,836764,903259,943162,967106,981475,990092,995263,154813,358797,481305,554813,598914,625378,641258,650789,656504,659934,
AMBP,19826833,11922021,7904812,7944256,5267393,818942,1840972,1506690,1305222,1184337,1111818,1068288,1042174,1026475,1017103,542394,1220812,999105,865497,785325,737233,708362,691044,680632,674408,163868,499288,700768,821658,894193,937718,963832,979500,988895,994536,108558,331008,464627,544801,592905,621770,639088,649479,655709,659448,
PIC,13627560,8197870,5429690,4284310050,4287908680,819787,819787,819787,819787,819787,819787,819787,819787,819787,819787,542969,542969,542969,542969,542969,542969,542969,542969,542969,542969,428431005,428431005,428431005,428431005,428431005,428431005,428431005,428431005,428431005,428431005,428790868,428790868,428790868,428790868,428790868,428790868,428790868,428790868,428790868,428790868,
EWMA,20571026,12394646,8176380,8409013,5534272,1757837,1651192,1393840,1237742,1143904,1087591,1053762,1033515,1021283,1013980,1081972,1111585,934260,826743,762112,723318,700026,686076,677663,672625,351567,611492,767961,861917,918314,952169,972487,984692,992010,996404,216394,395432,503197,567906,606747,630061,644054,652458,657499,660524,
SW,20126490,12101937,8024553,8595676,5699515,2005786,341234,555021,1038131,1360597,1360467,1360303,1360154,1360107,1360137,1330013,226209,368023,688368,902191,902104,901994,901905,901864,901882,1664178,1450586,967347,644795,644795,644795,644795,644795,644795,644795,1103525,961844,641415,427533,427533,427533,427533,427533,427533,427533,
AFC,20120961,12098827,8022134,8117804,5382416,1168206,1771377,1464822,1280123,1169271,1102760,1062854,1038918,1024564,1015932,774012,1174676,971367,848857,775337,731227,704762,688885,679368,673643,233641,541188,725914,836755,903258,943158,967097,981461,990081,995251,154802,358776,481294,554806,598912,625375,641252,650778,656496,659925,
AMBP,19826532,11921827,7904705,7944089,5267301,818798,1840898,1506721,1305243,1184343,1111799,1068273,1042163,1026497,1017092,542312,1220757,999129,865509,785332,737222,708353,691039,680643,674409,163839,499250,700744,821643,894183,937706,963819,979487,988889,994529,108542,330985,464613,544792,592900,621764,639081,649472,655706,659446,
PIC,13622210,8194660,5427550,4284314220,4287911460,819466,819466,819466,819466,819466,819466,819466,819466,819466,819466,542755,542755,542755,542755,542755,542755,542755,542755,542755,542755,428431422,428431422,428431422,428431422,428431422,428431422,428431422,428431422,428431422,428431422,428791146,428791146,428791146,428791146,428791146,428791146,428791146,428791146,428791146,428791146,
EWMA,20571385,12394795,8176590,8409106,5534403,1757701,1651251,1393961,1237741,1143928,1087631,1053816,1033485,1021302,1013979,1081900,1111617,934336,826770,762148,723362,700078,686064,677679,672636,351540,611482,767977,861929,918328,952188,972513,984707,992026,996416,216380,395427,503208,567920,606765,630084,644082,652478,657518,660541,
SW,20126572,12101997,8024575,8595759,5699597,2005779,341321,554950,1038153,1360604,1360470,1360298,1360191,1360111,1360120,1330002,226276,367981,688382,902189,902102,901991,901916,901866,901870,1664120,1450633,967350,644808,644808,644808,644808,644808,644808,644808,1103480,961875,641420,427546,427546,427546,427546,427546,427546,427546,
