budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,40496692,35581777,4914915,23133780,3033603,59967553,78431694,514187,42253,6023229,5987752,5993663,5994109,5994649,5994813,5994917,5994821,5994726,5994874,7218450,7616959,7642504,7789168,7748231,7722007,7776500,7819673,9883337,7214865,45979,52670,57022,52995,57135,58064,57999,57587,28936,45800,8972,5081,3706,3423,3065,2862,2533,2509,1293,8809,3473942,3647246,3647479,3710155,3687540,3672368,3692706,3710341,2867659,3472341,459555,450098,441030,447870,436299,448413,445314,442199,886217,457920,694788,1285279,1757719,2148206,2456072,2699331,2898006,3060473,3021910,3111996,91911,163548,219044,264809,299107,328968,352237,370229,473426,470324,
SW_v2,37437909,32809837,4628072,30352518,4419426,59685028,78320146,520755,38244,5739766,5991206,5994225,5994601,5994207,5994155,5994210,5994203,5994312,5994143,7293108,7662899,7755782,7695018,7752652,7779431,7788392,9752081,7217073,7623710,51373,55144,54416,58463,58029,57800,57757,29204,45720,52849,4750,3922,3307,3167,2854,2528,2509,1410,8768,5029,629122,3658152,3694769,3663477,3685295,3693999,3696617,2964714,3473545,3650147,202954,451414,438008,448786,445482,445030,444364,843363,458311,450360,629122,2143637,2660681,3672133,3681180,3680924,3691970,3451777,3378292,3362802,202954,327184,364125,446069,444092,446433,444959,577586,582013,584011,
AFC_v2,37133805,32601361,4532444,20252791,2803008,59800826,78593251,524827,36944,5849337,5991980,5994757,5994923,5995273,5995260,5994616,5995001,5994570,5995109,7449588,7817205,7679367,7753098,7778806,7792834,9829275,7215009,7623941,7654128,56501,51983,58169,58326,58062,57530,29135,45663,52810,56648,3646,3416,3074,2856,2534,2514,1347,8795,5057,3705,442218,3724538,3655424,3685626,3693789,3698767,2924856,3472892,3650591,3652660,97599,443893,443339,445541,445142,444436,862640,458076,450462,441316,88443,815662,1383614,1844016,2213970,2510929,2593714,2769549,2945757,3087137,19519,104393,172182,226853,270510,305295,416764,425026,430113,432353,
LR_v2,61988780,54121591,7867189,55858275,8096321,95994431,127441945,825478,57645,6007494,5992125,12000756,12000828,12000899,12000711,12000823,12000992,5994754,5995049,7792698,7761528,15526063,17756670,14853384,15449330,15542497,15621622,9922283,7215870,53868,56301,116136,86142,99204,110615,113470,115400,28541,45801,3430,3083,5387,3776,13830,7118,5935,5068,1216,8802,874851,3693935,7378718,6565404,7131283,7367132,7394470,7417858,2824569,3473371,266326,436715,892618,1339788,908967,889585,883574,892915,898437,458264,1312276,5103477,9221109,6158747,7414222,7485056,7408139,7429552,527925,3797772,399489,521909,1120569,1563373,693557,879894,880569,897585,901198,238178,
AMBP_v2,37101535,32194438,4907097,15194601,2336244,59893148,78742127,520776,38201,5942166,5992039,5994740,5994938,5995167,5994844,5995019,5994609,5995069,5994557,7564754,7630094,7806166,7715902,7729378,7778872,7808807,9866742,7218402,7623010,51825,57764,52044,58209,58039,57792,57676,28800,45849,52778,5038,3699,3423,3066,2860,2533,2508,1302,8734,5038,74091,3641719,3718042,3672948,3675479,3693803,3705762,2888840,3473855,3649899,458738,441015,447950,437198,447670,445157,443076,877650,458341,450302,13408,665163,1148164,1487808,1732807,1912505,2044040,1991700,2059317,2139689,82644,138886,180628,208747,230877,246359,257131,343110,329540,318322,
PIC_v2,112019106,98213331,13805775,13879821771,13827445881,168028148,221994567,1458971,102886,5951728,18006443,18008396,18009007,18008792,18008500,18008881,18008880,18008656,18008865,7590530,23311515,25559353,22548663,23340523,25595744,22554228,23344662,25595469,22553880,56742,168031,144368,155345,168050,143905,155114,168062,144184,155170,3688,9362,6312,17460,9355,6262,17446,9354,6251,17396,1732692,11097087,10276928,10804032,11109626,10235779,10806674,11111531,10232830,10806152,370007,1333317,1783537,1351304,1331197,1800887,1351368,1331171,1801685,1351302,429343268,775690761,1052604724,1274241315,1451611706,1593333250,1706824664,1797678767,1870186309,1928307007,429070731,773519977,1049169418,1269602524,1445944988,1587112897,1699957320,1790228819,1862540121,1920299086,
EWMA,25500493,22513737,2986756,15211803,2093226,59944492,78831521,526418,35797,5991928,5993845,5994720,5994981,5994734,5994959,5994917,5994840,5994686,5994882,7779599,7778792,9737793,7219916,7622959,7656825,7779124,7758966,7721416,7776131,57654,58434,29132,45707,52838,56550,53529,56528,58082,57964,2539,2506,1412,8730,5029,3702,3422,3078,2849,2530,3694300,2953254,1790644,2171410,2172680,2037775,2004867,1931420,1876322,1881065,445053,355376,697470,205189,206572,205088,217731,208804,224014,221459,738860,1181738,1303519,1477097,1616213,1700525,1761393,1795398,1811582,1825478,89010,142283,253320,243693,236268,230032,227571,223817,223856,223376,
SW,25010654,20599138,4411516,16307456,5145860,59934650,78435856,513841,41858,5994678,5992985,5994082,5993947,5993624,5993578,5993341,5993083,5992890,5992442,7217600,7621603,7650463,7782347,7754895,7719831,7773797,7816086,9882089,7217145,45780,52855,56726,53507,56823,58201,57962,57492,28781,45714,8756,5028,3705,3418,3064,2863,2535,2504,1276,8709,3473940,920745,1218390,1836001,2365519,2346103,2366721,2383691,1539953,2148075,458383,458383,458383,458383,458383,458383,458383,458383,372226,372226,2728474,2432642,1871025,1325045,1325045,1325045,1325045,1325045,1325045,1325045,514586,514586,514586,514586,514586,514586,514586,514586,514586,514586,
AFC,24217696,21170057,3047639,15915052,2084763,59944598,78844558,525232,36776,5991809,5994269,5994816,5994804,5994918,5994879,5994593,5995153,5994524,5994833,7632054,7806113,7720929,7726039,7777859,7812799,9871104,7222661,7620760,7654240,57595,51969,58007,58133,58017,57471,28822,45648,53078,56492,3701,3424,3063,2859,2530,2513,1298,8661,5025,3702,3182018,2713266,2328491,2131089,2032788,1972484,1100965,1829619,1965942,1913395,440993,359888,294290,275071,251785,237813,668298,155783,176562,187156,1004818,1346507,1542903,1660540,1734989,1782488,1646184,1682871,1739485,1774267,88198,142536,172886,193323,205015,211574,302918,273491,254106,240716,
AMBP,21518093,18703278,2814815,823450000,115702868,95890119,131970140,780105,48806,5899121,5991129,5994694,5994752,5994982,5994479,5994809,18009004,18009052,18008097,7675409,7695844,7738426,7777753,7798924,9853353,7216071,23092856,23355792,29765712,52072,58137,58138,57826,57351,28959,45934,164228,171281,86179,3364,3075,2856,2530,2515,1318,8767,12169,8471,3741,1880600,3288252,2720686,2382262,2176253,1251045,1251045,1251045,1251045,1251045,200603,397900,334938,288722,261232,671996,164856,164856,164856,164856,376200,958610,1311025,1525272,1655468,163524685,163524685,163524685,163524685,163524685,40200,111740,156379,182847,198524,293218,28679990,28679990,28679990,28679990,
