budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,18189269,15811724,2377545,10681650,1582597,2080214,2091818,1842026,1573388,1494598,1431112,1330125,1317107,1337866,1313470,163314,363474,304730,255871,239651,219008,211201,209436,207410,203450,416042,751197,969362,1090167,1171053,1223064,1244476,1259002,1274774,1282513,32662,98824,140005,163178,178472,186579,191503,195089,197553,198732,
SW,18197869,15842913,2354956,10196656,1933798,2591491,232188,562884,1411870,1850333,1836764,1820258,1874663,1847603,1814859,405296,191108,90709,168507,254365,243831,254400,252489,242587,251664,2110893,1807380,1128854,735647,735647,735647,735647,735647,735647,735647,327002,327002,229038,150108,150108,150108,150108,150108,150108,150108,
AFC,17772900,15308785,2464115,10266382,1660288,1542379,2250885,1865784,1664588,1516445,1247195,1173792,1365712,1370512,1311493,206866,360297,294925,257273,232617,324000,207449,190614,199737,190337,308475,696957,930722,1077495,1165285,1181667,1180092,1217216,1247875,1260598,41373,105157,143110,165942,179277,208221,208067,204577,203609,200955,
AMBP,17679258,15153545,2525713,135438557,1622552,1154601,2316461,1917788,1695604,1539461,1436647,1376784,1349470,1312606,1054123,184022,356649,301022,261301,235803,221861,213066,208762,204229,338998,231000,648092,902031,1060745,1156488,1212519,1245372,1266191,1275474,126440645,36884,100837,140874,164959,179127,187673,192751,195953,197608,225886,
PIC,26920860,25413320,1507540,4261929960,4293007480,2541332,2541332,2541332,2541332,2541332,2541332,2541332,2541332,2541332,2541332,150754,150754,150754,150754,150754,150754,150754,150754,150754,150754,426192996,426192996,426192996,426192996,426192996,426192996,426192996,426192996,426192996,426192996,429300748,429300748,429300748,429300748,429300748,429300748,429300748,429300748,429300748,429300748,
EWMA,18121969,15753262,2368707,10635544,1576598,2093304,2073654,1828464,1547683,1517026,1395100,1311680,1334807,1334201,1317343,165209,360923,301702,255366,240303,212137,216445,208383,204400,203839,418660,749658,965419,1081871,1168902,1214141,1233648,1253879,1269943,1279423,33041,98617,139234,162460,178028,184849,191168,194611,196568,198022,
SW,17996354,15638066,2358288,10398613,1854641,2565732,400348,526250,1356275,1826175,1772934,1793098,1836646,1758317,1802291,397636,145726,103730,179973,260517,250743,257095,253456,252736,256676,2067518,1840279,1164110,760958,760958,760958,760958,760958,760958,760958,323434,313509,215697,143143,143143,143143,143143,143143,143143,143143,
AFC,17682437,15251997,2430440,10243678,1634521,1462231,2267081,1888763,1647467,1501780,1356683,1167564,1328234,1360259,1271935,212863,356041,294094,256037,233175,269800,219832,193892,202432,192274,292446,687373,927651,1071614,1157647,1197454,1191476,1218827,1247113,1252077,42572,105265,143030,165631,179139,197271,201783,200205,200650,198975,
AMBP,17619637,15168817,2450820,135147123,1598701,1149851,2291377,1935796,1685362,1493518,1401007,1368828,1330232,1329625,1183221,172900,366960,298932,257232,227265,224268,212475,206333,204667,279788,230050,642315,901011,1057881,1145008,1196207,1230731,1250631,1266429,126226860,34660,101120,140682,163992,176646,186170,191431,194411,196462,213127,
PIC,26990870,25367890,1622980,4261989020,4292857400,2536789,2536789,2536789,2536789,2536789,2536789,2536789,2536789,2536789,2536789,162298,162298,162298,162298,162298,162298,162298,162298,162298,162298,426198902,426198902,426198902,426198902,426198902,426198902,426198902,426198902,426198902,426198902,429285740,429285740,429285740,429285740,429285740,429285740,429285740,429285740,429285740,429285740,
