TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
22:48:50:989,275219,204874,0,199,0,2
22:48:50:989,282265,212610,0,159,0,3
22:48:51:189,120001849,39125045,3131725,203,10785567,2
22:48:51:189,120000945,265545495,66,43,915,3
22:48:51:389,120001208,45339019,3629557,200,12558349,2
22:48:51:389,120000647,265702062,19,17,838,3
22:48:51:589,120001502,49003666,3908477,208,13559467,2
22:48:51:589,120000424,265757767,9,9,824,3
22:48:51:789,120000710,47828588,3831076,221,13090698,2
22:48:51:818,280739,213132,0,195,0,3
22:48:51:989,120001442,45924804,3672490,199,12474551,2
22:48:52:018,120003069,15470442,198377,37828,744968,3
22:48:52:189,120001456,48053227,3834703,199,13283685,2
22:48:52:218,120001149,11402468,87422,11313,358562,3
22:48:52:389,120001732,48260345,3857458,222,13370412,2
22:48:52:418,120000914,12683440,122080,43883,490965,3
22:48:52:589,120001486,48242110,3855450,216,13377705,2
22:48:52:618,120001158,22818616,130393,61985,691422,3
22:48:52:789,120001474,48280375,3859949,205,13403596,2
22:48:52:789,120001188,265717744,6,8,820,3
22:48:52:989,120001457,47444252,3798589,206,13190949,2
22:48:53:018,120001208,70446834,269005,1028021,1541711,3
22:48:53:189,120001189,47381920,3791676,200,13162172,2
22:48:53:218,120002343,76524102,432281,923087,2305505,3
22:48:53:389,120000776,44844692,3574073,190,12395724,2
22:48:53:418,120001495,58686737,652873,932465,2574148,3
22:48:53:589,120001040,46692884,3742244,211,13001660,2
22:48:53:618,120001301,53933564,421307,935634,1893517,3
22:48:53:789,120002178,44773285,3569113,199,12374562,2
22:48:53:818,120001266,62940349,677372,1159469,2444085,3
22:48:53:989,120000725,46803732,3748293,209,12997921,2
22:48:54:018,120001961,83938883,427891,1747565,2346062,3
22:48:54:189,120001134,46967624,3756464,199,13040657,2
22:48:54:218,120001686,95667218,329146,2113473,2235333,3
22:48:54:389,120001341,47310517,3783587,201,13111462,2
22:48:54:418,120002150,97600553,322811,2027409,2246016,3
22:48:54:589,120001528,46948470,3743428,209,13012870,2
22:48:54:618,120001482,93170231,340766,1673282,2573822,3
22:48:54:789,120001330,47200672,3771602,197,13092982,2
22:48:54:818,120001444,93793365,352972,1920919,2364508,3
22:48:54:989,120000661,47159926,3770973,197,13082495,2
22:48:55:018,120001748,97380398,295684,2091416,2232689,3
22:48:55:189,120001107,47552007,3806771,200,13192122,2
22:48:55:218,120001804,99514851,295425,2087971,2140099,3
