CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
1,19:24:37:606,279973,207504,0,204,0,2
3,19:24:37:606,230096,198741,0,142,0,3
1,19:24:37:806,120002503,38085756,3047273,196,10393179,2
3,19:24:37:806,120000529,265505452,74,41,1337,3
1,19:24:38:006,120000588,44774287,3572954,191,12355385,2
3,19:24:38:006,120000474,265682453,16,21,1230,3
1,19:24:38:206,120000620,48366743,3865099,201,13397961,2
3,19:24:38:206,120000486,265760388,7,11,1226,3
1,19:24:38:406,120001635,47473608,3799991,200,13012601,2
3,19:24:38:438,277891,208186,0,200,0,3
1,19:24:38:606,120001313,45299471,3623961,198,12305544,2
3,19:24:38:638,120001742,15367797,198071,38106,744752,3
1,19:24:38:806,120001268,47173393,3768442,207,13062933,2
3,19:24:38:838,120000889,11289653,87268,11576,357072,3
1,19:24:39:006,120001309,47397720,3793344,216,13172709,2
3,19:24:39:038,120000872,12570586,121418,44305,489236,3
1,19:24:39:206,120000806,47454705,3791229,208,13167194,2
3,19:24:39:238,120001694,22317487,128573,59822,672415,3
1,19:24:39:406,120001393,47778348,3812373,199,13244633,2
3,19:24:39:406,120000568,265670108,6,10,1222,3
1,19:24:39:606,120000589,46869740,3750977,194,13028905,2
3,19:24:39:638,120002715,68213965,259668,1032563,1497791,3
1,19:24:39:806,120001317,46734348,3735104,199,12982403,2
3,19:24:39:838,120001818,77404784,392982,917027,2174656,3
1,19:24:40:006,120000637,44106248,3522804,204,12209897,2
3,19:24:40:038,120002368,59102372,682551,942308,2653379,3
1,19:24:40:206,120001995,46183393,3690186,191,12802351,2
3,19:24:40:238,120001996,51093048,424276,835898,1901736,3
1,19:24:40:406,120001692,44223936,3535890,191,12246488,2
3,19:24:40:438,120002111,63312524,669285,1188095,2440405,3
1,19:24:40:606,120000864,46083696,3681328,212,12791909,2
3,19:24:40:638,120002673,82365679,407138,1737162,2215715,3
1,19:24:40:806,120001682,46295375,3700343,232,12833308,2
3,19:24:40:838,120002793,93877844,348505,2020079,2296865,3
1,19:24:41:006,120001212,46455764,3720438,196,12925337,2
3,19:24:41:038,120001906,96167272,316494,2081474,2198277,3
1,19:24:41:206,120001406,46147604,3686201,223,12792986,2
3,19:24:41:238,120001926,93511846,348255,1652576,2519334,3
1,19:24:41:406,120002754,46423652,3716899,198,12905725,2
3,19:24:41:438,120001644,92392383,347542,1866364,2417614,3
1,19:24:41:606,120000623,46355077,3703438,205,12855940,2
3,19:24:41:638,120001465,96193054,310829,1987062,2253516,3
1,19:24:41:806,120001151,46892420,3743208,191,13002914,2
3,19:24:41:838,120002039,100318582,264137,2211935,2010620,3
1,19:24:42:006,120001135,46395696,3713744,201,12883250,2
3,19:24:42:038,120002261,95742518,308162,2045279,2246861,3
1,19:24:42:206,120001149,46982557,3747276,194,13004884,2
3,19:24:42:238,120003372,100617181,275537,2149658,2080026,3
1,19:24:42:406,120001307,46316773,3705257,187,12866196,2
3,19:24:42:438,120001917,92211369,375763,1465980,2660523,3
1,19:24:42:606,120000770,47693489,3816946,204,13223223,2
3,19:24:42:638,6135264,1236933,30727,2701,121155,3
1,19:24:42:806,120001639,49092753,3927889,202,13615411,2
3,19:24:42:838,44297,14235,248,230,1782,3
1,19:24:43:006,120001318,49037515,3912230,199,13553239,2
3,19:24:43:038,2595,961,3,9,15,3
1,19:24:43:206,120000521,48971993,3916250,210,13579286,2
3,19:24:43:238,1740,961,0,5,0,3
1,19:24:43:406,120000701,48879773,3915090,206,13574165,2
3,19:24:43:438,88847,31269,631,511,3724,3
1,19:24:43:606,120001176,49183263,3928397,183,13627123,2
3,19:24:43:638,37548,13480,108,179,1873,3
1,19:24:43:806,120001151,49229163,3933507,215,13640080,2
3,19:24:43:838,32695,14262,22,135,1421,3
1,19:24:44:006,120001189,49198905,3930315,213,13631090,2
3,19:24:44:038,2073,962,0,8,12,3
1,19:24:44:206,120000610,49055742,3922351,207,13601151,2
3,19:24:44:238,1697,962,0,2,0,3
1,19:24:44:406,120000626,48985626,3921763,215,13587310,2
3,19:24:44:438,154163,51694,534,626,6542,3
1,19:24:44:606,120001301,49118410,3929592,211,13633818,2
3,19:24:44:638,37518,13482,60,141,1663,3
1,19:24:44:806,120001095,49163789,3926115,190,13626625,2
3,19:24:44:838,2658,962,0,4,11,3
1,19:24:45:006,120001283,49186573,3928816,204,13630843,2
3,19:24:45:038,47345,20432,56,204,2044,3
1,19:24:45:206,120000610,49069396,3921528,215,13588537,2
3,19:24:45:238,2096,962,0,4,12,3
1,19:24:45:406,120000564,48906949,3916806,207,13582396,2
3,19:24:45:438,67074,31344,75,294,3288,3
1,19:24:45:606,120000696,49159714,3932702,211,13624438,2
3,19:24:45:638,2524,961,0,7,10,3
1,19:24:45:806,120001363,49266021,3937700,216,13652257,2
3,19:24:45:838,32492,13415,18,98,1468,3
1,19:24:46:006,120001082,49267559,3937839,214,13651553,2
3,19:24:46:038,39065,18315,19,176,1778,3
1,19:24:46:206,120001460,49218595,3932332,198,13616495,2
3,19:24:46:238,2442,962,0,6,10,3
1,19:24:46:406,120001632,49244751,3935322,202,13641445,2
3,19:24:46:438,30030,14184,2,89,1316,3
1,19:24:46:606,120001252,49295592,3940857,203,13661422,2
3,19:24:46:638,2048,962,0,4,12,3
1,19:24:46:806,120001107,49259180,3936775,215,13655686,2
3,19:24:46:838,29554,13411,0,81,1320,3
1,19:24:47:006,120001294,49259783,3936966,222,13645827,2
3,19:24:47:038,36796,18278,0,144,1725,3
1,19:24:47:206,120001297,49291463,3940286,197,13653903,2
3,19:24:47:238,2090,961,0,5,10,3
1,19:24:47:406,120001393,49306158,3942015,210,13658069,2
3,19:24:47:438,65640,31360,14,249,3062,3
1,19:24:47:606,120001019,49258267,3936693,205,13652803,2
3,19:24:47:638,2276,961,0,6,7,3
1,19:24:47:806,120000681,49142430,3929903,197,13645232,2
3,19:24:47:838,29445,13414,3,78,1360,3
1,19:24:48:006,120000657,49353391,3944792,218,13670849,2
3,19:24:48:038,37366,18336,4,135,1723,3
1,19:24:48:206,120000617,49355905,3944883,210,13684339,2
3,19:24:48:238,2575,962,0,4,11,3
1,19:24:48:406,120000529,49126604,3930432,227,13622711,2
3,19:24:48:438,29449,14183,0,71,1298,3
1,19:24:48:606,120000560,49118894,3930068,224,13632336,2
3,19:24:48:638,2407,962,0,4,10,3
1,19:24:48:806,120000630,49209401,3935756,225,13632893,2
3,19:24:48:838,29767,13064,5,82,1331,3
1,19:24:49:006,120000574,49328229,3943099,210,13662533,2
3,19:24:49:038,37470,17823,5,115,1710,3
1,19:24:49:206,120000711,49245470,3937892,201,13652618,2
3,19:24:49:238,2431,962,0,4,11,3
1,19:24:49:406,120000681,49345815,3944350,199,13681860,2
3,19:24:49:438,38896,18734,13,161,1826,3
1,19:24:49:606,120000712,49290263,3940863,216,13667187,2
3,19:24:49:638,36834,16902,15,123,1687,3
1,19:24:49:806,120000675,49143854,3931426,212,13639692,2
3,19:24:49:838,32633,13409,11,95,1519,3
1,19:24:50:006,120000718,49321310,3942808,222,13658246,2
3,19:24:50:038,37882,18243,4,116,1763,3
1,19:24:50:206,120000722,49307549,3941902,197,13673994,2
3,19:24:50:238,2292,962,0,4,10,3
1,19:24:50:406,120000569,49376881,3946180,211,13671892,2
3,19:24:50:438,1660,962,0,1,2,3
1,19:24:50:606,120000642,49345003,3944257,204,13675858,2
3,19:24:50:638,29365,13830,0,71,1307,3
1,19:24:50:806,120000775,49329139,3943325,215,13667787,2
3,19:24:50:838,82189,32018,149,303,3847,3
1,19:24:51:006,120000707,49427751,3949450,207,13667453,2
3,19:24:51:038,37814,18201,7,135,1793,3
1,19:24:51:206,120000754,49434691,3949854,207,13705606,2
3,19:24:51:238,2536,962,0,5,10,3
1,19:24:51:406,120000926,49476339,3952965,211,13716703,2
3,19:24:51:438,41166,19463,19,184,1827,3
1,19:24:51:606,120001406,49390819,3951259,206,13693644,2
3,19:24:51:638,30349,14101,7,85,1358,3
1,19:24:51:806,120001083,49418183,3954550,203,13713287,2
3,19:24:51:838,30874,13409,7,82,1404,3
1,19:24:52:006,120000626,49356414,3947656,208,13674881,2
3,19:24:52:038,38252,18793,6,117,1815,3
1,19:24:52:206,120001147,49371905,3949400,211,13680134,2
3,19:24:52:238,2327,962,0,4,10,3
1,19:24:52:406,120000623,49440512,3951338,213,13699440,2
3,19:24:52:438,1716,962,0,2,0,3
1,19:24:52:606,120000468,121916412,2620391,251,9078154,2
3,19:24:52:638,28818,14127,0,68,1282,3
1,19:24:52:806,120000433,265140977,0,253,15,2
3,19:24:52:838,16555547,5716726,138661,9246,549186,3
1,19:24:53:006,120000453,264338633,0,238,7,2
3,19:24:53:038,120000995,71874784,1296113,648563,5541623,3
1,19:24:53:206,120000438,264586135,0,247,7,2
3,19:24:53:238,120000674,72523869,856691,460482,3198750,3
1,19:24:53:406,120000441,265120942,0,263,7,2
3,19:24:53:438,120000710,33304638,48297,57174,79603,3
1,19:24:53:606,120000428,265130915,0,251,7,2
3,19:24:53:638,120000691,33297054,47987,58471,77809,3
1,19:24:53:806,120000426,265124116,0,251,7,2
3,19:24:53:838,120000768,33306768,48035,57294,78205,3
1,19:24:54:006,120000424,265123623,0,243,7,2
3,19:24:54:038,120000606,33317936,47845,55655,77183,3
1,19:24:54:206,120000423,265131588,0,250,7,2
3,19:24:54:238,120000621,33300252,47829,57801,77273,3
1,19:24:54:406,120000416,265124216,0,250,7,2
3,19:24:54:438,120000631,33322370,47817,55121,76700,3
1,19:24:54:606,120000427,265129897,0,258,7,2
3,19:24:54:638,120000587,33290109,47806,60706,77827,3
1,19:24:54:806,120000431,265125610,0,263,7,2
3,19:24:54:838,120000627,33322553,47829,54413,77732,3
1,19:24:55:006,120000420,265122898,0,256,7,2
3,19:24:55:038,120000620,33293559,47755,59432,76557,3
1,19:24:55:206,120000427,265131982,0,249,7,2
3,19:24:55:238,120000605,33317488,47807,54043,77149,3
1,19:24:55:406,120000474,265125479,0,245,7,2
3,19:24:55:438,120000648,33293073,47809,58237,77447,3
1,19:24:55:606,120000444,265130141,0,258,7,2
3,19:24:55:638,120000599,33293148,47757,54051,77014,3
1,19:24:55:806,120000443,265124474,0,240,7,2
3,19:24:55:838,120000673,33312333,47803,56080,77268,3
1,19:24:56:006,120000438,265122536,0,260,7,2
3,19:24:56:038,120000613,33292356,47765,54962,76461,3
1,19:24:56:206,120000434,265131290,0,263,7,2
3,19:24:56:238,120000591,33321405,47804,55132,77297,3
1,19:24:56:406,120000436,265125163,0,247,7,2
3,19:24:56:438,120000626,33330634,47801,59148,76772,3
1,19:24:56:606,120000429,265132539,0,242,7,2
3,19:24:56:638,120000593,33310943,47786,54891,77043,3
1,19:24:56:806,120000441,265122963,0,250,7,2
3,19:24:56:838,120000638,33295716,47755,57392,77141,3
1,19:24:57:006,120000441,265131352,0,249,7,2
3,19:24:57:038,120000622,33300543,47758,54357,76185,3
1,19:24:57:206,120000451,265122603,0,250,7,2
3,19:24:57:238,120000588,33293494,47744,59424,76882,3
1,19:24:57:406,120000433,265124385,0,248,7,2
3,19:24:57:438,120000721,33324472,47808,53629,77280,3
1,19:24:57:606,120000436,265130305,0,234,7,2
3,19:24:57:638,120000573,33292480,47747,58265,76582,3
1,19:24:57:806,120000446,265123764,0,242,7,2
3,19:24:57:838,120000624,33296371,47770,56543,76824,3
1,19:24:58:006,120000435,265130660,0,240,7,2
3,19:24:58:038,120000621,33282994,47726,57959,76222,3
1,19:24:58:206,120000450,265123058,0,261,7,2
3,19:24:58:238,120000671,33315569,50556,57912,88815,3
1,19:24:58:406,120000436,265123668,0,237,7,2
3,19:24:58:438,120000602,33321206,51667,58545,90807,3
1,19:24:58:606,120000442,265132652,0,231,7,2
3,19:24:58:638,120000644,33326440,47827,57839,76900,3
1,19:24:58:806,120000423,265125136,0,230,7,2
3,19:24:58:838,120000641,33319458,48241,55620,79179,3
1,19:24:59:006,120000419,265129274,0,252,7,2
3,19:24:59:038,120000597,33309487,47787,55670,76652,3
1,19:24:59:206,120000430,265123467,0,253,7,2
3,19:24:59:238,120000616,33323874,47824,54914,77240,3
1,19:24:59:406,120000422,265124181,0,243,7,2
3,19:24:59:438,120000785,33302398,48075,57820,77859,3
1,19:24:59:606,120000435,265133469,0,243,7,2
3,19:24:59:638,120000600,33305126,47790,55078,76457,3
1,19:24:59:806,120000435,265123510,0,253,7,2
3,19:24:59:838,120000690,33315870,47873,58494,78871,3
1,19:25:00:006,120000420,265130114,0,246,7,2
3,19:25:00:038,120000631,33319634,47790,53781,76753,3
1,19:25:00:206,120000416,265124721,0,246,7,2
3,19:25:00:238,120000642,33322282,47797,57132,77403,3
1,19:25:00:406,120000419,265133092,0,235,7,2
3,19:25:00:438,120000629,33315083,47801,56251,76663,3
1,19:25:00:606,120000437,265123319,0,245,7,2
3,19:25:00:638,120000665,33304701,47769,56486,76781,3
1,19:25:00:806,120000440,265122244,0,259,7,2
