CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,12:08:09:898,328846,223136,412,229,1636,2,0,0,2
2,12:08:09:898,330962,226964,389,220,1568,2,0,0,2
3,12:08:09:898,327421,223128,389,164,1600,3,0,0,0
1,12:08:10:099,120006678,194004606,95985,91372,1091022,2,0,0,2
2,12:08:10:099,120003842,183537509,13206,90272,928550,2,0,0,2
3,12:08:10:099,120008066,265881772,179,60,1651,3,0,0,0
1,12:08:10:299,120002681,181045748,91434,90424,1179597,2,0,0,6
2,12:08:10:299,120002932,176090867,253969,83844,1702774,2,0,0,5
3,12:08:10:299,120002586,265885167,52,21,1321,3,0,0,0
1,12:08:10:500,120002774,191034566,1706,90093,828315,2,1,9,5
2,12:08:10:500,120002903,181311668,84668,91795,1148462,2,1,16,2
3,12:08:10:500,120002703,265897538,38,12,1294,3,1,20,0
1,12:08:10:700,120023670,207538262,37115,90204,824073,2,1,4,2
2,12:08:10:700,120014788,164838917,83714,86992,1252995,2,1,3,2
3,12:08:10:700,327875,223381,356,218,1650,3,1,3,0
1,12:08:10:900,120011303,197748872,50094,93669,922527,2,1,1,1
2,12:08:10:900,120011891,182160164,92900,86067,1167547,2,1,1,7
3,12:08:10:900,120013074,21049753,211951,38071,786054,3,1,0,0
1,12:08:11:101,120011858,210691429,166639,83678,1203158,2,1,4,2
2,12:08:11:101,120011421,197753937,241382,90262,1501752,2,1,0,2
3,12:08:11:101,120012182,16584071,83400,12556,358455,3,1,0,0
1,12:08:11:301,120011454,183392684,38217,85348,1008625,2,1,5,5
2,12:08:11:301,120012171,210218781,1612,88851,707746,2,1,0,5
3,12:08:11:301,120012207,18482742,132933,47031,541075,3,1,0,0
1,12:08:11:502,120013512,224265669,211397,93659,1227284,2,1,13,2
2,12:08:11:502,120012755,205528419,84232,91660,980165,2,1,0,2
3,12:08:11:502,120012499,34187076,144909,64348,744225,3,1,0,0
1,12:08:11:702,120011136,212395874,472,88743,696863,2,1,4,1
2,12:08:11:702,120011138,205422568,674,99182,719353,2,1,0,2
3,12:08:11:702,120010588,265911112,16,26,1283,3,1,0,0
1,12:08:11:903,120010898,181965930,166863,86681,1400140,2,2,51,5
2,12:08:11:903,120010771,187363468,157,82147,872085,2,1,5,5
3,12:08:11:903,120012277,92639876,287884,1179828,1657449,3,1,13,0
1,12:08:12:103,120010747,226329817,83545,85507,837209,2,2,84,2
2,12:08:12:103,120010764,205628599,82940,89892,977752,2,1,46,5
3,12:08:12:103,120012708,79550908,646459,1098055,3145684,3,2,61,0
1,12:08:12:303,120010945,185949802,1434,88298,867602,2,2,88,2
2,12:08:12:303,120010664,207660280,330315,89838,1686081,2,2,89,2
3,12:08:12:303,120012073,69617298,541063,1009292,2465731,3,2,87,0
1,12:08:12:504,120010864,163997559,83590,87528,1248074,2,2,91,5
2,12:08:12:504,120010855,188981585,82997,87537,1069105,2,2,93,2
3,12:08:12:504,120013373,75229073,708086,1349842,2619202,3,2,93,0
1,12:08:12:704,120010732,176837592,249541,91148,1663422,2,2,96,2
2,12:08:12:704,120010949,182534050,1134,91964,886814,2,2,95,5
3,12:08:12:704,120013400,94662576,551254,1918760,2813428,3,2,95,0
1,12:08:12:905,120010861,183893044,1094,86838,893210,2,2,97,2
2,12:08:12:905,120010701,192953843,234,92295,816963,2,2,96,5
3,12:08:12:905,120012653,110392251,354388,2437785,2515102,3,2,97,0
1,12:08:13:105,120010618,190509620,248823,86123,1569841,2,2,97,5
2,12:08:13:105,120010756,210717807,83701,90819,914143,2,2,96,5
3,12:08:13:105,120013092,111134827,398315,2125017,2832565,3,2,97,0
1,12:08:13:306,120010785,210678969,179040,86748,1234738,2,2,97,2
2,12:08:13:306,120011221,192641028,248,83811,833019,2,2,96,5
3,12:08:13:306,120012775,109607909,344888,2179977,2694825,3,2,97,0
1,12:08:13:506,120010962,192614864,236282,96640,1508338,2,2,97,2
2,12:08:13:506,120010916,219413066,83788,102820,860911,2,2,96,5
3,12:08:13:506,120012726,107471014,394622,2142673,2813949,3,2,97,0
1,12:08:13:707,120010820,172628052,330770,76779,1960213,2,2,98,2
2,12:08:13:707,120011119,190807997,83787,82544,1089309,2,2,96,2
3,12:08:13:707,120012733,113705829,258858,2548214,2120438,3,2,97,0
1,12:08:13:907,120011096,183337983,84739,89415,1144541,2,2,98,2
2,12:08:13:907,120010850,209966800,274,91484,703562,2,2,96,2
3,12:08:13:907,120012590,110632280,342356,2329814,2561218,3,2,97,0
1,12:08:14:107,120010765,181415460,84360,89050,1150980,2,2,98,5
2,12:08:14:107,120010870,189618809,166803,99249,1329828,2,2,96,5
3,12:08:14:107,120012929,113791335,304867,2369137,2346299,3,2,97,0
1,12:08:14:308,120010929,212346484,83688,91896,940954,2,2,96,5
2,12:08:14:308,120010946,183838297,317,86932,885022,2,2,95,2
3,12:08:14:308,90962917,80111544,349922,1272840,2453356,3,2,95,0
1,12:08:14:508,120011039,181451539,83116,88012,1153671,2,2,87,5
2,12:08:14:508,120010765,166131684,83052,81646,1264769,2,2,92,2
3,12:08:14:508,14370,15021,42,79,372,3,2,92,0
1,12:08:14:709,120010673,195782525,564,82270,809721,2,2,86,2
2,12:08:14:709,120010861,195051928,247990,89350,1544972,2,2,94,2
3,12:08:14:709,103028,40842,933,535,4983,3,2,94,0
1,12:08:14:909,120010659,202368318,165805,90144,1255209,2,2,85,2
2,12:08:14:909,120010827,179243210,83326,87137,1162791,2,2,71,2
3,12:08:14:909,13190,15021,30,47,244,3,2,65,0
1,12:08:15:110,120010969,179797449,82767,85015,1166258,2,1,25,5
2,12:08:15:110,120010758,178890667,165759,85061,1419025,2,2,67,2
3,12:08:15:110,39421,28291,85,155,1739,3,2,67,0
1,12:08:15:310,120010716,217772011,411493,89469,1890345,2,1,34,2
2,12:08:15:310,120010589,162094197,330136,92461,1980990,2,1,8,5
3,12:08:15:310,12979,15021,21,17,206,3,1,9,0
1,12:08:15:510,120010638,163533777,166101,90245,1522874,2,1,13,5
2,12:08:15:510,120010986,228550690,165077,93967,1061449,2,1,12,2
3,12:08:15:510,11081,15015,0,20,29,3,1,8,0
1,12:08:15:711,120011022,222509389,416,84065,625146,2,2,67,2
2,12:08:15:711,120010774,206508999,83534,86701,982253,2,1,39,2
3,12:08:15:711,113604,57892,756,634,6014,3,2,50,0
1,12:08:15:911,120010462,208399037,214,92676,702709,2,2,68,2
2,12:08:15:911,120010484,183175068,306,89341,889071,2,1,32,2
3,12:08:15:911,12620,15021,28,33,260,3,1,27,0
