Retrieving file: pxelinux.cfg/000
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
Retrieving file: pxelinux.cfg/00
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
Retrieving file: pxelinux.cfg/0
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
Retrieving file: pxelinux.cfg/default-arm-bcm283x-rpi
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
Retrieving file: pxelinux.cfg/default-arm-bcm283x
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
Retrieving file: pxelinux.cfg/default-arm
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
Retrieving file: pxelinux.cfg/default
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
Config file not found
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
ethernet@7d580000 Waiting for PHY auto negotiation to complete......... TIMEOUT !
bcmgenet: PHY startup failed: -110
U-Boot> fatload mmc 0 0x200000 bao.bin; go 0x200000
80379403 bytes read in 3367 ms (22.8 MiB/s)
## Starting application at 0x00200000 ...
Fila criada com sucesso
TIMESTAMP, CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL, DET_STATUS, DET_PROB, BENCH_ID
[VM2] Task Vr1] TarkaOoqa (AradTraIO)LEAiORada. CaciadaP C nal 0P0000x70000000
==================================================
START_OF_CSV_DATA
CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,23:45:49:859,330326,229448,401,228,1712,2,0,0,2
2,23:45:49:859,321182,225013,359,230,1603,2,0,0,5
3,23:45:49:859,321114,225562,460,181,1669,3,0,0,0
1,23:45:50:059,120004271,183217494,12204,87056,936118,2,0,0,2
2,23:45:50:059,120003013,183872496,12805,96027,909729,2,0,0,2
3,23:45:50:059,120003019,265882908,156,59,1628,3,0,0,0
1,23:45:50:260,120002923,209934990,7860,89368,726726,2,0,0,5
2,23:45:50:260,120003023,162609206,171846,79896,1529847,2,0,0,2
3,23:45:50:260,120002189,265887180,31,21,1264,3,0,0,0
1,23:45:50:460,120003064,183965791,167243,96173,1374968,2,0,0,2
2,23:45:50:460,120002984,165207142,83641,99403,1245620,2,0,0,2
3,23:45:50:460,120002324,265895503,22,12,1243,3,0,0,0
1,23:45:50:660,120003391,168922805,84192,82041,1236854,2,0,0,5
2,23:45:50:660,120002813,177259246,85008,96090,1060731,2,0,0,2
3,23:45:50:660,330833,230201,343,223,1630,3,0,0,0
1,23:45:50:861,120003064,198116901,249641,91024,1521345,2,0,0,5
2,23:45:50:861,120002943,186502286,83793,79486,1127707,2,0,0,5
3,23:45:50:861,120004538,20907063,208075,38418,775070,3,0,0,0
1,23:45:51:061,120003182,202034390,157974,93520,1217057,2,0,0,2
2,23:45:51:061,120003731,221079379,330185,84096,1612456,2,0,0,2
3,23:45:51:061,120003895,16386416,83689,12578,358063,3,0,0,0
1,23:45:51:262,120004278,209217987,10505,91191,728136,2,0,0,5
2,23:45:51:262,120002816,172525529,249497,87912,1699321,2,0,0,5
3,23:45:51:262,120004028,18032231,134168,46632,541975,3,0,0,0
1,23:45:51:462,120003184,185360117,165963,91578,1358253,2,0,0,5
2,23:45:51:462,120002931,203712876,84206,91816,984945,2,0,0,2
3,23:45:51:462,120004225,33625540,138821,60963,721436,3,0,0,0
1,23:45:51:663,120002879,195782627,84787,84674,1054197,2,1,5,2
2,23:45:51:663,120003021,198056080,248371,85961,1524707,2,1,5,2
3,23:45:51:663,120002213,265884971,18,11,1255,3,1,1,0
1,23:45:51:863,120011935,171447100,413797,84774,2180174,2,1,17,5
2,23:45:51:863,120011869,197463444,166476,91411,1240538,2,1,15,2
3,23:45:51:863,120004917,91965186,295614,1186572,1704860,3,0,0,0
1,23:45:52:064,120011179,198566323,2355,88961,780422,2,1,23,2
2,23:45:52:064,120011441,204838014,83583,86968,975345,2,1,22,2
3,23:45:52:064,120004484,80669192,638147,1077302,3099639,3,0,0,0
1,23:45:52:264,120011499,198110119,84887,95229,1029241,2,1,25,1
2,23:45:52:264,120011318,169586461,83428,94888,1214044,2,1,24,5
3,23:45:52:264,120003962,70309815,561281,1008529,2504684,3,0,0,0
1,23:45:52:464,120011408,197382712,84914,90273,1043381,2,1,24,5
2,23:45:52:464,120011547,193443752,166033,85263,1306614,2,1,22,5
3,23:45:52:464,120003804,74127243,653943,1342007,2457952,3,1,0,0
1,23:45:52:665,120011128,198730588,1925,88711,781339,2,1,23,1
2,23:45:52:665,120011170,212554489,83833,89351,936809,2,1,21,1
3,23:45:52:665,120013194,94200967,612490,1875438,2915858,3,1,0,0
1,23:45:52:865,120010908,225413646,166079,89573,1051473,2,1,22,2
2,23:45:52:865,120011253,163343856,83196,79378,1237528,2,1,24,5
3,23:45:52:865,120012521,110138144,364642,2389137,2529364,3,1,0,0
1,23:45:53:066,120010999,183787675,1625,86894,895610,2,1,24,1
2,23:45:53:066,120010866,195644693,166534,90501,1280864,2,1,25,2
