budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
EWMA,10417399,6556453,6153400,3845471,1303512,1281949,1281949,1175292,940375,940375,965303,818444,818444,891756,710841,810764,810764,817253,571950,571950,670500,486694,486694,619043,260702,464951,464951,607019,673690,673690,732012,749298,749298,777789,142168,275887,275887,384160,421718,421718,471474,474518,474518,503423,
SW,9117400,5733242,7837587,4857250,1470436,484826,1003231,797731,1002950,802870,968689,798774,990157,797736,978986,300364,628995,491437,628787,494862,605964,492135,620256,491456,1062346,751664,751664,751664,751664,751664,751664,751664,751664,761929,655603,466006,466006,466006,466006,466006,466006,466006,466006,473599,
AMBP,11199290,5851394,7741141,496091138,309917,1694515,1160992,1840841,746542,1595155,594898,1432615,499254,1324561,128828,1140466,708770,1173450,449980,449980,449980,449980,449980,449980,62063,388553,543040,802600,802600,961111,961111,1055411,1055411,1109241,25845,248769,340769,507305,50443875,50443875,94280035,94280035,102760315,102760315,
AFC,7933474,4910369,5367181,3369399,1458813,596436,596436,1612090,283167,283167,1424140,160874,160874,1357477,897114,337410,337410,1093000,129071,129071,968022,47762,47762,923747,291762,352696,352696,604574,540293,540293,717062,605825,605825,756155,179422,211019,211019,387415,335747,335747,462202,379314,379314,488200,
(# 1fft_5bandwidth_3vms above)

budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
EWMA,6664993,4109266,4414795,2813345,849932,393849,1396402,561048,91108,1234540,473912,18691,1214903,430608,347825,166146,989599,269602,269602,822565,176176,176176,768602,122973,169986,214758,451086,473078,396684,564255,546186,440687,595530,562545,69565,88881,269024,269139,269139,379824,339094,339094,424995,364590,
SW,5504081,3016023,4734576,2541077,507351,444026,471268,659176,481063,667276,477105,652686,493000,651130,334235,250486,238943,363691,245522,369098,242869,359372,253460,358347,659097,450158,450158,450158,450158,450158,450158,450158,450158,474215,348810,239714,239714,239714,239714,239714,239714,239714,239714,274555,
AMBP,11221992,7143995,6790561,234595364,465090,13337,1358458,117780,1661027,1856013,1606718,1459820,1369721,1314028,161969,48450,866697,866697,866697,866697,866697,866697,866697,866697,93098,93098,346170,346170,609141,858515,1008155,1098488,1152734,1184992,32473,35668,201873,33475050,33475050,33475050,33475050,33475050,33475050,33475050,
AFC,12372931,9070318,6122943,4136117,137062,1405178,209077,1865034,1865034,1525861,1525861,1308526,1308526,1222772,87723,895791,895791,1261740,1261740,1033125,1033125,886434,886434,828415,27412,302965,284188,600357,600357,785457,785457,890070,890070,956610,17544,193193,193193,406902,406902,532146,532146,603003,603003,648085,
(# 6bandwidth_3vms above)

