budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,2830694,1236792,1762773,750406,280732,280732,226148,226148,193358,193358,173703,173703,161926,161926,154846,154846,150604,150604,148060,124370,124370,99501,99501,84564,84564,75617,75617,70247,70247,67032,67032,65104,65104,63922,62288,62288,95060,95060,114719,114719,126515,126515,133597,133597,137846,137846,140397,140397,141929,24874,24874,39799,39799,48752,48752,54125,54125,57349,57349,59285,59285,60448,60448,61142,
SW,2099486,865960,2080580,848544,148060,145961,136002,136002,137077,137077,138089,138089,139881,139881,140999,140999,140447,140447,140475,63922,62763,52687,52687,53766,53766,57269,57269,58264,58264,59395,59395,58830,58830,58853,141929,141929,141929,141929,139680,139680,137056,137056,137056,137056,137056,137056,137056,137056,137056,61142,61142,61142,61142,56405,56405,54574,54574,54574,54574,54574,54574,54574,54574,54574,
LR,6312222,882795,2055840,818610,1501834,1501834,1501834,150576,150576,150552,150552,150554,150554,150554,150554,150562,150562,150562,150562,58853,58853,58853,58853,58853,58853,58853,58853,58853,58853,58853,58853,58853,58853,58853,137056,137056,137056,137056,137056,137056,137056,137056,137056,137056,137056,137056,137056,137056,137056,54574,54574,54574,54574,54574,54574,54574,54574,54574,54574,54574,54574,54574,54574,54574,
AMBP,2723504,1171457,1600762,689502,150562,150848,150848,257867,257867,212339,212339,185037,185037,168663,168663,158803,158803,152914,152914,58853,69340,69340,110158,110158,90895,90895,79374,79374,72456,72456,68285,68285,65794,65794,137056,30249,30249,75772,75772,103085,103085,119475,119475,129312,129312,135210,135210,138750,138750,54574,13948,13948,33190,33190,44731,44731,51659,51659,55818,55818,58311,58311,59807,59807,
AFC,2452201,546119,1274688,418285,152914,149910,149910,207816,207816,207816,172033,172033,172033,149256,149256,149256,137384,137384,137384,65794,64775,64775,66738,21168,21168,56422,15095,15095,52243,13458,13458,51076,12427,12427,138750,29982,29982,65548,65548,65548,86845,86845,86845,99327,99327,99327,106938,106938,106938,59807,12955,12955,23711,23203,23203,29846,26896,26896,31965,28264,28264,32826,28747,28747,
(# 1fft_3bandwidth_defaults above)

budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,2832950,1239261,1764808,751999,281127,281127,226262,226262,193460,193460,173837,173837,162025,162025,154971,154971,150701,150701,148184,124810,124810,99661,99661,84693,84693,75747,75747,70362,70362,67148,67148,65189,65189,64041,62443,62443,95206,95206,114856,114856,126652,126652,133726,133726,137975,137975,140520,140520,142052,24962,24962,39901,39901,48859,48859,54236,54236,57461,57461,59398,59398,60556,60556,61253,
SW,2039182,805605,1997892,765894,148184,146366,124663,124663,127893,127893,135356,135356,138151,138151,140537,140537,136462,136462,138508,64041,63115,41347,41347,44603,44603,54551,54551,56537,56537,58923,58923,54822,54822,56883,142052,142052,142052,142052,132974,132974,129304,129304,129304,129304,129304,129304,129304,129304,129304,61253,61253,61253,61253,49688,49688,46834,46834,46834,46834,46834,46834,46834,46834,46834,
LR,4695532,853245,1939560,702510,929778,929778,929778,158862,158862,158869,158869,158856,158856,158835,158835,158850,158850,158827,158827,56883,56883,56883,56883,56883,56883,56883,56883,56883,56883,56883,56883,56883,56883,56883,129304,129304,129304,129304,129304,129304,129304,129304,129304,129304,129304,129304,129304,129304,129304,46834,46834,46834,46834,46834,46834,46834,46834,46834,46834,46834,46834,46834,46834,46834,
AMBP,2688435,1010347,1371577,529665,158827,159112,159112,231689,231689,231689,182882,182882,182882,168374,168374,168374,154183,154183,154183,56883,77534,77534,83987,83987,83987,61456,61456,61456,62701,62701,62701,57988,57988,57988,129304,31902,31902,71859,71859,71859,94063,94063,94063,108925,108925,108925,117976,117976,117976,46834,15586,15586,29266,29266,29266,35704,35704,35704,41103,41103,41103,44480,44480,44480,
AFC,2445458,561405,1278536,415483,154183,170684,170684,214501,214501,214501,165682,165682,165682,137694,137694,137694,132092,132092,132092,57988,80093,80093,68617,13622,13622,55102,15547,15547,48837,17132,17132,48783,14645,14645,117976,34136,34136,70209,70209,70209,89303,89303,89303,98981,98981,98981,105603,105603,105603,44480,16018,16018,26537,23954,23954,30183,27256,27256,31572,28684,28684,32703,29092,29092,
(# 3fft_1bandwidth+stressed_defaults above)

budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,2830484,1236801,1762986,750401,280685,280685,226123,226123,193350,193350,173679,173679,161929,161929,154842,154842,150618,150618,148032,124373,124373,99494,99494,84572,84572,75602,75602,70257,70257,67023,67023,65124,65124,63911,62323,62323,95083,95083,114736,114736,126524,126524,133605,133605,137852,137852,140405,140405,141930,24874,24874,39798,39798,48752,48752,54122,54122,57349,57349,59283,59283,60451,60451,61143,
SW,2066795,833364,2021777,789691,148032,145965,129692,129692,128625,128625,136527,136527,139939,139939,140400,140400,140990,140990,140452,63911,62762,46372,46372,45302,45302,55712,55712,58357,58357,58818,58818,59372,59372,58825,141930,141930,141930,141930,134761,134761,131615,131615,131615,131615,131615,131615,131615,131615,131615,61143,61143,61143,61143,51479,51479,49129,49129,49129,49129,49129,49129,49129,49129,49129,
LR,6350741,882375,1974225,736935,1492919,1492919,1492919,156016,156016,156002,156002,155986,155986,155999,155999,155996,155996,155993,155993,58825,58825,58825,58825,58825,58825,58825,58825,58825,58825,58825,58825,58825,58825,58825,131615,131615,131615,131615,131615,131615,131615,131615,131615,131615,131615,131615,131615,131615,131615,49129,49129,49129,49129,49129,49129,49129,49129,49129,49129,49129,49129,49129,49129,49129,
AMBP,2732429,1175225,1599407,688295,155993,156262,156262,256537,256537,211482,211482,184471,184471,168246,168246,158533,158533,152687,152687,58825,74756,74756,108860,108860,90074,90074,78829,78829,72066,72066,68020,68020,65595,65595,131615,31332,31332,76373,76373,103394,103394,119609,119609,129336,129336,135175,135175,138677,138677,49129,15031,15031,33796,33796,45051,45051,51806,51806,55858,55858,58290,58290,59751,59751,
AFC,1146288,592947,963155,420536,152687,149991,149991,180263,18471,18471,158655,5235,5235,148059,3944,3944,143406,3968,3968,65595,64832,64832,57568,32193,32193,46612,25523,25523,41748,24310,24310,39696,24006,24006,138677,29998,29998,60051,51735,51735,73119,59543,59543,77246,62586,62586,78750,63794,63794,59751,12966,12966,21886,23947,23947,28480,27889,27889,30660,29390,29390,31451,29962,29962,
(# 3fft_1bandwidth_defaults above)

