budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,2833237,1239141,1764655,751851,280978,280978,226289,226289,193595,193595,173889,173889,162052,162052,154995,154995,150730,150730,148181,124602,124602,99675,99675,84763,84763,75777,75777,70374,70374,67152,67152,65207,65207,64041,62379,62379,95161,95161,114847,114847,126655,126655,133734,133734,137986,137986,140534,140534,142063,24920,24920,39871,39871,48849,48849,54234,54234,57462,57462,59400,59400,60561,60561,61257,
SW,1997295,763640,1933806,701729,148181,145817,118462,118462,119664,119664,131737,131737,136969,136969,138300,138300,137846,137846,137341,64041,62637,35172,35172,36348,36348,50900,50900,55332,55332,56670,56670,56204,56204,55710,142063,142063,142063,142063,127981,127981,123288,123288,123288,123288,123288,123288,123288,123288,123288,61257,61257,61257,61257,44719,44719,40807,40807,40807,40807,40807,40807,40807,40807,40807,
AFC,22232430,1741917,4446480,5155135116,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,430203,430203,430203,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,86040,86040,86040,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,
LR,22232430,564135,4446480,6443596245,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,
AMBP,22232430,564135,4446480,6443596245,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,1482162,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,37609,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,296432,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,429573083,
# 3fft_1bandwidth_defaults
budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,31970547,9355734,24455444,7070917,7582732,1647540,1910133,1910133,1551652,1856612,1856612,1513955,1832886,1832886,1501148,1827927,1827927,1495889,1822515,2009277,530019,591663,591663,472154,558010,558010,450960,544667,544667,443501,541052,541052,440493,538546,1516546,1542744,1616221,1616221,1603307,1653968,1653968,1625965,1667349,1667349,1634108,1672871,1672871,1637474,1674482,401855,427487,460322,460322,462688,481752,481752,475593,489407,489407,480225,492390,492390,482010,493317,
SW,20247378,5807583,16980982,4974902,406229,406229,406229,71955,1804303,1822292,986574,2716306,1822675,986180,2717854,1823006,986457,2244496,1046593,114385,114385,114385,25697,534076,488545,294382,801905,488451,294312,802356,488379,294546,677384,274395,1674482,1674482,1674482,1674482,760829,760829,760829,760829,760829,760829,760829,760829,1232850,1537723,1425849,493317,493317,493317,493317,224719,224719,224719,224719,224719,224719,224719,224719,349439,439001,415442,
AFC,12660383,3041481,5166269842,5157480147,1046593,1507637,3126845,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,274395,448236,932466,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,1425849,301527,866590,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,415442,89647,258210,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,
LR,8724135,1732980,6454594845,6445896060,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,
AMBP,8724135,1732980,6454594845,6445896060,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,581609,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,115532,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,430306323,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,429726404,
# 4mser_defaults
budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,271867,106931,164989,64879,27384,27384,21898,21898,18585,18585,16608,16608,15426,15426,14721,14721,14290,14290,14043,10765,10765,8617,8617,7306,7306,6532,6532,6068,6068,5791,5791,5624,5624,5525,5476,5476,8760,8760,10725,10725,11901,11901,12606,12606,13029,13029,13281,13281,13433,2153,2153,3445,3445,4217,4217,4680,4680,4957,4957,5123,5123,5223,5223,5283,
SW,206128,81084,204085,80247,14043,13888,13881,13881,13883,13883,13439,13439,13587,13587,13680,13680,13751,13751,13755,5525,5464,5471,5471,5458,5458,5278,5278,5340,5340,5382,5382,5410,5410,5417,13433,13433,13433,13433,13884,13884,13734,13734,13636,13636,13569,13569,13569,13569,13569,5283,5283,5283,5283,5464,5464,5402,5402,5359,5359,5333,5333,5333,5333,5333,
AFC,232462,91294,177677,69771,13755,14030,24521,20170,17576,15994,15080,14494,14174,13946,13853,13757,13733,13688,13691,5417,5636,9598,7889,6890,6264,5917,5683,5564,5470,5439,5393,5392,5366,5376,13569,2806,7149,9753,11317,12252,12817,13152,13356,13474,13549,13590,13618,13632,13643,5333,1127,2821,3834,4445,4808,5029,5159,5240,5286,5316,5331,5343,5347,5352,
LR,205009,80640,204645,80280,13691,13662,13679,13659,13684,13659,13674,13663,13684,13659,13659,13659,13659,13659,13659,5376,5376,5376,5376,5376,5376,5376,5376,5376,5376,5376,5376,5376,5376,5376,13643,13643,13643,13643,13643,13643,13643,13643,13643,13643,13643,13643,13643,13643,13643,5352,5352,5352,5352,5352,5352,5352,5352,5352,5352,5352,5352,5352,5352,5352,
AMBP,231962,90907,177747,69849,13659,13659,24516,20146,17564,15997,15079,14497,14176,13953,13851,13752,13733,13689,13691,5376,5358,9573,7872,6872,6263,5913,5680,5565,5471,5438,5393,5391,5366,5376,13643,2811,7152,9750,11312,12249,12815,13151,13356,13475,13550,13590,13618,13632,13643,5352,1151,2835,3842,4448,4811,5031,5160,5241,5287,5317,5332,5343,5347,5352,
# 4fft_defaults
budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,2833330,1239197,1764715,751881,280995,280995,226341,226341,193543,193543,173875,173875,162068,162068,154987,154987,150758,150758,148196,124623,124623,99701,99701,84731,84731,75775,75775,70375,70375,67154,67154,65211,65211,64057,62384,62384,95175,95175,114848,114848,126653,126653,133736,133736,137986,137986,140540,140540,142071,24924,24924,39879,39879,48849,48849,54234,54234,57462,57462,59400,59400,60562,60562,61261,
SW,1967371,733672,1919017,686923,148196,145828,117588,117588,116560,116560,131656,131656,135395,135395,134038,134038,134986,134986,132901,64057,62641,34291,34291,33272,33272,50795,50795,53760,53760,52397,52397,53348,53348,51248,142071,142071,142071,142071,126659,126659,121935,121935,121935,121935,121935,121935,121935,121935,121935,61261,61261,61261,61261,43401,43401,39453,39453,39453,39453,39453,39453,39453,39453,39453,
