budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
EWMA,13169186,8148179,8936793,5514978,1879691,1752024,1478605,1313245,1214087,1154530,1118698,1097272,1084400,1076634,1076031,1108991,931438,824017,759634,720936,697665,683745,675384,670338,375938,651155,816645,915965,975589,1011377,1032841,1045727,1053461,1058095,215206,393963,501458,565969,604702,627948,641891,650261,655285,658295,
SW,12990986,8082997,8945825,5568245,2130400,53755,691936,1171264,1490866,1490828,1490619,1490484,1490415,1490419,1325744,35800,429792,728339,927391,927367,927232,927138,927093,927101,2076133,1438100,958697,638985,638985,638985,638985,638985,638985,638985,1289589,895705,597112,397977,397977,397977,397977,397977,397977,397977,
AMBP,12976220,8074835,8746417,5442783,1491103,1831329,1525645,1341487,1230976,1164714,1124951,1101067,1086753,1078195,927580,1139640,949432,834824,766048,724807,700058,685194,676287,670965,298300,604905,789053,899539,965826,1005603,1029472,1043791,1052383,1057545,185596,376404,491009,559772,601027,625783,640638,649549,654896,658109,
AFC,12694949,7896937,8469203,5267302,933123,1943380,1592566,1381694,1255120,1179218,1133625,1106262,1089883,1080078,574533,1210571,991796,860271,781324,733989,705548,688485,678268,672152,186624,537975,748893,875453,951386,996952,1024286,1040681,1050521,1056432,114906,334039,465590,544526,591885,620305,637353,647579,653716,657403,
(# scenario1 above)

budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
EWMA,13169133,8148137,8936727,5514939,1879623,1751972,1478611,1313259,1214121,1154539,1118692,1097276,1084392,1076648,1075995,1108961,931433,824028,759650,720945,697657,683746,675379,670343,375924,651133,816628,915954,975587,1011377,1032840,1045727,1053460,1058097,215199,393951,501447,565963,604700,627949,641890,650261,655284,658295,
SW,12990913,8082965,8945944,5568315,2130373,53900,691881,1171263,1490864,1490719,1490600,1490474,1490400,1490439,1325720,35895,429754,728338,927390,927302,927223,927136,927088,927119,2075971,1438150,958718,639015,639015,639015,639015,639015,639015,639015,1289483,895737,597123,397996,397996,397996,397996,397996,397996,397996,
AMBP,12978750,8075982,8748184,5443587,1491573,1831690,1525858,1341759,1231193,1164907,1125174,1101285,1086965,1078346,927820,1139801,949524,834952,766142,724883,700164,685292,676380,671024,298394,605053,789214,899723,966017,1005795,1029670,1043993,1052587,1057738,185644,376475,491084,559857,601114,625867,640726,649639,654987,658194,
AFC,12697213,7897933,8470687,5267949,933095,1943765,1592885,1382032,1255318,1179430,1133837,1106488,1090099,1080264,574482,1210750,991939,860442,781405,734081,705647,688590,678366,672231,186619,538048,749015,875618,951558,997132,1024473,1040876,1050720,1056628,114896,334066,465640,544600,591961,620385,637437,647667,653806,657491,
(# scenario2 above)

budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
EWMA,13168889,8147957,8936529,5514800,1879496,1751975,1478563,1313278,1214045,1154496,1118733,1097274,1084389,1076640,1075905,1108968,931414,824038,759591,720920,697679,683736,675372,670334,375899,651114,816603,915938,975559,1011346,1032823,1045713,1053448,1058086,215181,393938,501433,565954,604681,627928,641878,650249,655273,658285,
SW,12988289,8081714,8943944,5567340,2129988,53766,691757,1171027,1490589,1490470,1490300,1490190,1490110,1490092,1325557,35821,429691,728217,927272,927188,927073,926999,926953,926943,2075662,1437828,958504,638850,638850,638850,638850,638850,638850,638850,1289359,895588,597023,397910,397910,397910,397910,397910,397910,397910,
AMBP,12976076,8074701,8746392,5442736,1491335,1831289,1525543,1341467,1230939,1164678,1124927,1101034,1086726,1078138,927734,1139614,949364,834805,766017,724774,700047,685164,676264,670918,298347,604935,789056,899538,965818,1005590,1029457,1043772,1052362,1057517,185626,376423,491011,559769,601018,625769,640624,649532,654878,658086,
AFC,12694748,7896788,8469053,5267199,933089,1943343,1592547,1381670,1255079,1179191,1133620,1106256,1089898,1080055,574531,1210548,991770,860249,781297,733962,705543,688476,678276,672136,186617,537962,748879,875437,951365,996930,1024268,1040665,1050511,1056419,114906,334034,465581,544514,591870,620288,637339,647566,653708,657393,
(# scenario3 above)

budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
