budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,24857242,21870094,2987148,15086024,1902072,59962867,77984805,0,42167,6023364,5984763,5992887,5994086,5994690,5994604,5994784,5994425,5994337,5994927,7219006,7537450,7581561,7805027,7599848,7756074,7778393,7732566,9780361,7194519,0,0,0,0,0,0,0,0,0,0,8970,5046,3702,3406,3055,2863,2529,2494,1387,8715,3224238,2965118,2511563,2329202,2042997,2017701,1954107,1888291,1146148,1790729,209538,403775,325096,290137,253786,248667,237679,228187,634011,156272,644847,1108901,1389433,1577386,1670508,1739946,1782778,1803880,1672333,1696012,41907,114280,156443,183181,197302,207575,213595,216513,300012,271264,
SW,24217611,21173976,3043635,15761931,1929562,59924600,78387465,0,36633,5993916,5993315,5993578,5993227,5993940,5991181,5992143,5991310,5990662,5991328,7758244,7682103,7722808,7780200,7746705,9636598,7208787,7587245,7597356,7667419,0,0,0,0,0,0,0,0,0,0,3316,3166,2847,2534,2498,1428,8729,5085,3692,3338,3696599,600830,1033944,1917915,2493210,1782100,2285578,2450217,2442629,2470954,437498,100463,116225,227123,295069,678809,309662,300727,291583,286476,3057609,2637588,1777124,1184230,1184230,1184230,1184230,1184230,1184230,1184230,348374,327567,218062,147937,147937,147937,147937,147937,147937,147937,
AFC,24603911,21705574,2898337,14514664,1993421,59866655,78028672,0,36254,5918673,5992258,5992560,5994879,5994872,5994551,5994659,5994889,5994476,5994838,7534456,7698651,7769146,7728472,9636862,7157069,7537258,7533691,7756400,7676667,0,0,0,0,0,0,0,0,0,0,3057,2843,2529,2490,1458,8386,5336,3686,3306,3163,2403143,3180285,2669234,2319240,1448879,1917820,2009023,1914056,1965244,1878650,291615,383354,321103,280187,635456,176298,191404,194321,202531,222068,480628,1020559,1350294,1544083,1525043,1603598,1684683,1730557,1777494,1797725,58323,123329,162883,186343,276165,256192,243235,233453,227269,226229,
AMBP,24247177,21471788,2775389,14238162,150817723,59871067,78045978,0,36079,5923830,5990375,5994240,5994536,5995027,5994156,5994744,5994695,5994556,5994908,7632670,7712066,7675973,9455090,7161024,7603760,7630545,7780362,7700932,7693556,0,0,0,0,0,0,0,0,0,0,2825,2508,2474,1486,8450,5318,3701,3397,3076,2844,1832010,3296695,2692202,1697232,2065118,2126909,2003976,1993781,1899149,1864716,212405,398171,325855,640992,199661,199661,199661,199661,199661,199661,366482,952524,1300459,1379813,1516874,1638881,1711900,1768276,1794450,1808503,42561,113683,156117,253092,25042045,25042045,25042045,25042045,25042045,25042045,
PIC,21695170,17281810,4413360,4272500930,4289229910,168075513,228805370,0,97107,5992841,18007484,18009551,18009483,18008808,18009524,18009596,18009258,18009827,18009141,7704184,33548511,22427562,23225038,25292086,22479012,23152554,25266247,22479702,23230474,0,0,0,0,0,0,0,0,0,0,2475,1495,17482,9336,6328,17472,9317,6335,17525,9342,1728181,1728181,1728181,1728181,1728181,1728181,1728181,1728181,1728181,1728181,441336,441336,441336,441336,441336,441336,441336,441336,441336,441336,427250093,427250093,427250093,427250093,427250093,427250093,427250093,427250093,427250093,427250093,428922991,428922991,428922991,428922991,428922991,428922991,428922991,428922991,428922991,428922991,
EWMA_v2,7855832798,3974470612,3881362186,951975909,900705654,180011876,238485164,0,105470,17929919,18006708,18009381,18009164,18009373,18009450,18009062,18009728,18010250,18008841,25336475,22470511,23219156,25307449,22490496,23223418,25440753,22423854,23176764,25396288,0,0,0,0,0,0,0,0,0,0,6312,17445,9339,6317,17414,9331,6304,17349,9320,6339,3878217335,10767984,11056442,10252502,10777829,11057280,10265914,10747579,11035126,10292621,3868051988,1347673,1330694,1752871,1348686,1330086,1769490,1345709,1328466,1756523,200000000,162153596,131934165,107597832,88233831,72798520,60291998,50383114,42513516,36069337,200000000,160269534,128481766,103135987,82778526,66488838,53544968,43105116,34749786,28151133,
SW_v2,8647695754,4366055251,4281640503,7915433575,7837383954,179877225,234860672,0,116650,17815303,18005824,18008414,18009074,18006602,18005726,18006839,18006807,18005991,18006645,22236640,23149366,25192775,22324666,23238958,25429700,22433330,23017740,25349808,22487689,0,0,0,0,0,0,0,0,0,0,17342,9309,6406,17363,9341,6340,17444,9265,6388,17452,4269804383,11022314,10327732,10701452,11064177,10309936,10753119,10962138,10332854,10777146,4268402563,1327425,1720771,1341367,1331354,1757962,1346518,1321561,1742196,1348786,4269804383,2140413349,1430384810,10683833,10697787,10691855,10709077,10675064,10682704,10690713,4268402563,2134864994,1423816920,1463188,1464497,1476894,1478611,1475347,1470092,1470848,
AFC_v2,37090758,32566531,4524227,20044953,2888154,71868387,93902361,0,42407,17918565,5991921,5994527,5994481,5994722,5994682,5994911,5994532,5994947,5995099,23125972,7763169,7790735,9744502,7203651,7577830,7545807,7784914,7662274,7703507,0,0,0,0,0,0,0,0,0,0,9308,2532,2511,1324,8648,5090,3676,3411,3066,2841,570199,3687306,3699083,2888267,3466713,3630263,3602969,3710386,3648711,3662634,105279,444707,443982,858844,456901,448436,437288,443151,442286,443353,114039,828692,1402770,1699869,2053237,2368642,2615507,2834482,2997327,3130388,21055,105785,173424,310508,339786,361516,376670,389966,400430,409014,
LR_v2,69000349,59509477,9490872,63191338,9932325,107758386,145429167,0,63399,5760291,5992164,5994730,5995338,5994868,12001340,18006369,18005226,18007385,12000675,7518597,7737663,9568717,7165206,7608982,15361777,23147814,29440256,22423513,15456642,0,0,0,0,0,0,0,0,0,0,2453,2489,1468,8376,5323,7079,8460,3864,17419,6468,689760,3673436,2999990,3446604,3646735,7326952,11011971,8602627,10747677,7363725,270577,443633,811950,453066,451765,883839,1327409,2619839,1345887,882907,1034640,5165274,2663267,3669911,3746800,9167060,12854480,7397955,11820202,5671749,405865,530161,996108,273624,451115,1099876,1549194,3266054,708911,651417,
AMBP_v2,38745659,33889694,4855965,16039934,2397275,65706429,85841628,0,38438,11756844,5991551,5994834,5994533,5994569,5995305,5994758,5994880,5994507,5994648,15165355,7728422,9634599,7200064,7601317,7586734,7799648,7702887,7671634,7750968,0,0,0,0,0,0,0,0,0,0,5274,2483,1446,8544,5154,3688,3414,3075,2837,2523,1786672,3669899,2992446,3464629,3641510,3621308,3715006,3667915,3648591,3681718,472135,443139,821705,456551,449796,438866,447479,437908,444237,444149,321672,892185,1181013,1473962,1716723,1887876,2027971,2120363,2183407,2234762,85056,141004,249429,261767,269434,272988,277097,278333,280361,281806,
